document_id,source_filename,total_chunks,estado
Compilado_Novena_Modificacion_Anexo_15_RMF2022,Compilado_Novena_Modificacion_Anexo_15_RMF2022-27122021.pdf,1,⚠️ SOSPECHOSO (Bajo)
Anexo1_PrimeraModificacion-RMF2025DOF-07042025,Anexo1_PrimeraModificacion-RMF2025DOF-07042025.pdf,2,⚠️ SOSPECHOSO (Bajo)
Anexo-1-A_PrimeraModificacion-RMF2025_DOF-22012025,Anexo-1-A_PrimeraModificacion-RMF2025_DOF-22012025.pdf,2,⚠️ SOSPECHOSO (Bajo)
Anexo27_RMF2025-30122024,Anexo27_RMF2025-30122024.pdf,2,⚠️ SOSPECHOSO (Bajo)
Anexo27_Primera_Modificacion_RMF_DOF-03112025,Anexo27_Primera_Modificacion_RMF_DOF-03112025.pdf,2,⚠️ SOSPECHOSO (Bajo)
Anexo1_SegundaModificacion-RMF2025DOF-03112025,Anexo1_SegundaModificacion-RMF2025DOF-03112025.pdf,2,⚠️ SOSPECHOSO (Bajo)
Anexo_32_Primera_Modificacion_RMF2025_DOF-03112025,Anexo_32_Primera_Modificacion_RMF2025_DOF-03112025.pdf,3,⚠️ SOSPECHOSO (Bajo)
Anexo_15_Aclaracion_a_la_Novena_Modificacion-RMF_DOF-10012025,Anexo_15_Aclaracion_a_la_Novena_Modificacion-RMF_DOF-10012025.pdf,3,⚠️ SOSPECHOSO (Bajo)
Anexo6_OctavaModificacion-DOF-30122024,Anexo6_OctavaModificacion-DOF-30122024.pdf,4,⚠️ SOSPECHOSO (Bajo)
Compilado_Primera_Modificacion_Anexo_27_RMF2025-03112025,Compilado_Primera_Modificacion_Anexo_27_RMF2025-03112025.pdf,4,⚠️ SOSPECHOSO (Bajo)
1a_RM_RMF2025_DOF-22012025,1a_RM_RMF2025_DOF-22012025.pdf,4,⚠️ SOSPECHOSO (Bajo)
Anexo9_RMF2025-DOF-07042025,Anexo9_RMF2025-DOF-07042025.pdf,4,⚠️ SOSPECHOSO (Bajo)
Anexo31_Primera_Modificacion_RMF_DOF-03112025,Anexo31_Primera_Modificacion_RMF_DOF-03112025.pdf,4,⚠️ SOSPECHOSO (Bajo)
Anexo7_Primera_Modificacion_RMF2025-DOF-09072025,Anexo7_Primera_Modificacion_RMF2025-DOF-09072025.pdf,5,OK
Anexo3_PrimeraModificacion-RMF_2025-DOF-13052025,Anexo3_PrimeraModificacion-RMF_2025-DOF-13052025.pdf,5,OK
Anexo_30_Primera_Modificacion_RMF2025-DOF-03112025,Anexo_30_Primera_Modificacion_RMF2025-DOF-03112025.pdf,7,OK
Anexo29_Primera_Modificacion_RMF2025_DOF-03112025,Anexo29_Primera_Modificacion_RMF2025_DOF-03112025.pdf,8,OK
Anexo1_TerceraModificacion-RMF2025DOF-17122025,Anexo1_TerceraModificacion-RMF2025DOF-17122025.pdf,9,OK
Anexo22_RMF2025_DOF-03012025,Anexo22_RMF2025_DOF-03012025.pdf,10,OK
Anexo_12_RMF_2025-DOF-14012025,Anexo_12_RMF_2025-DOF-14012025.pdf,10,OK
2a_RM_RMF_2025-07042025-DOF,2a_RM_RMF_2025-07042025-DOF.pdf,13,OK
Anexo15_NovenaModificacion_RMF2022-DOF-30122024,Anexo15_NovenaModificacion_RMF2022-DOF-30122024.pdf,16,OK
Anexo_31_RMF_2025-DOF-14012025,Anexo_31_RMF_2025-DOF-14012025.pdf,17,OK
Anexo14_Segunda_Modificacion__RMF-DOF-03112025,Anexo14_Segunda_Modificacion__RMF-DOF-03112025.pdf,18,OK
LEY FEDERAL DE LOS DERECHOS DEL CONTRIBUYENTE DOF 23055005,LEY FEDERAL DE LOS DERECHOS DEL CONTRIBUYENTE DOF 23055005.pdf,18,OK
RMF2026-DOF 28122025,RMF2026-DOF 28122025.pdf,20,OK
Compilado_Primera_Modificacion_Anexo_31_RMF2025-03112025,Compilado_Primera_Modificacion_Anexo_31_RMF2025-03112025.pdf,21,OK
Anexo15_Decima_Modificacion_RMF_2022-DOF-13052025,Anexo15_Decima_Modificacion_RMF_2022-DOF-13052025.pdf,21,OK
Anexo_13_RMF_2025-DOF-14012025,Anexo_13_RMF_2025-DOF-14012025.pdf,21,OK
Anexo_32_RMF2025-DOF-14012025,Anexo_32_RMF2025-DOF-14012025.pdf,22,OK
Compilado_Primera_Modificacion_Anexo_32_RMF2025-03112025,Compilado_Primera_Modificacion_Anexo_32_RMF2025-03112025.pdf,27,OK
Anexo14_RMF_Primera_Modificacion_RMF2025-DOF-13052025,Anexo14_RMF_Primera_Modificacion_RMF2025-DOF-13052025.pdf,27,OK
Anexo1_RMF2025-30122024,Anexo1_RMF2025-30122024.pdf,31,OK
Anexo5_RMF2025-DOF-30122024,Anexo5_RMF2025-DOF-30122024.pdf,31,OK
Anexo8_RMF2025-DOF-30122024,Anexo8_RMF2025-DOF-30122024.pdf,33,OK
Anexo15_DecimaPrimera_Modificacion_RMF_2022_DOF-03112025,Anexo15_DecimaPrimera_Modificacion_RMF_2022_DOF-03112025.pdf,34,OK
3a_RM_RMF_2025-DOF-13052025,3a_RM_RMF_2025-DOF-13052025.pdf,41,OK
REGLAMENTO_LEY_DEL_IMPUESTO_VALOR_AGREGADO,REGLAMENTO_LEY_DEL_IMPUESTO_VALOR_AGREGADO.pdf,41,OK
Anexo1-A_QuintaModificacion-RMF2025_DOF-17122025,Anexo1-A_QuintaModificacion-RMF2025_DOF-17122025.pdf,47,OK
Anexo_11_PrimeraModificacion_RMF_2025-DOF-13052025,Anexo_11_PrimeraModificacion_RMF_2025-DOF-13052025.pdf,51,OK
Anexo_11_RMF_2025-DOF-14012025,Anexo_11_RMF_2025-DOF-14012025.pdf,52,OK
Anexo29_RMF2025_DOF-03012025,Anexo29_RMF2025_DOF-03012025.pdf,53,OK
Anexo19_RMF2025-DOF-30122024,Anexo19_RMF2025-DOF-30122024.pdf,59,OK
LEY_FEDERAL_IMPUESTO_SOBRE_AUTOMOVILES_NUEVOS,LEY_FEDERAL_IMPUESTO_SOBRE_AUTOMOVILES_NUEVOS.pdf,60,OK
Compilado_Primera_Modificacion_Anexo_29_RMF2025-03112025,Compilado_Primera_Modificacion_Anexo_29_RMF2025-03112025.pdf,63,OK
Compilado_Primera_Modificacion_Anexo_1_RMF2025-07042025,Compilado_Primera_Modificacion_Anexo_1_RMF2025-07042025.pdf,64,OK
Compilado_Segunda_Modificacion_Anexo_1_RMF2025-03112025,Compilado_Segunda_Modificacion_Anexo_1_RMF2025-03112025.pdf,65,OK
